Date,Open,High,Low,Close,Adj Close,Volume
1992-09-23,10.898469,10.954938,10.785531,10.785531,3.567952,147200
1992-09-24,10.898469,10.954938,10.842000,10.898469,3.605313,23200
1992-09-25,10.898469,10.954938,10.842000,10.898469,3.605313,147600
1992-09-28,10.842000,10.954938,10.842000,10.954938,3.623993,42700
1992-09-29,10.898469,10.898469,10.729062,10.898469,3.605313,200100
1992-09-30,10.842000,11.011406,10.842000,11.011406,3.642672,53500
1992-10-01,11.124344,11.124344,10.898469,10.954938,3.623993,43100
1992-10-02,11.011406,11.011406,10.898469,10.898469,3.605313,41100
1992-10-05,10.898469,10.898469,10.616125,10.672594,3.530590,135400
1992-10-06,10.672594,10.842000,10.672594,10.785531,3.567952,23600
1992-10-07,10.785531,10.842000,10.164375,10.164375,3.362468,136800
1992-10-08,10.277312,10.503187,10.220843,10.503187,3.474550,60400
1992-10-09,10.503187,10.729062,10.390250,10.390250,3.437188,117300
1992-10-12,10.503187,10.559656,10.503187,10.559656,3.493229,18800
1992-10-13,10.672594,10.729062,10.503187,10.503187,3.474550,74500
1992-10-14,10.503187,10.559656,10.390250,10.446719,3.455869,97600
1992-10-15,10.503187,10.729062,10.503187,10.672594,3.530590,38200
1992-10-16,10.785531,10.785531,10.503187,10.503187,3.474550,90900
1992-10-19,10.559656,10.898469,10.559656,10.842000,3.586634,51100
1992-10-20,10.785531,10.842000,10.729062,10.785531,3.567952,97800
1992-10-21,10.898469,11.124344,10.842000,11.011406,3.642672,94500
1992-10-22,11.124344,11.237281,11.124344,11.237281,3.717394,216200
1992-10-23,11.293750,11.519625,11.293750,11.406688,3.773435,83800
1992-10-26,11.350219,11.858438,11.350219,11.858438,3.922879,357700
1992-10-27,11.801969,11.858438,11.689032,11.689032,3.866838,345300
1992-10-28,11.576094,11.576094,11.463157,11.519625,3.810795,88900
1992-10-29,11.689032,11.745500,11.632563,11.745500,3.885519,86300
1992-10-30,11.858438,11.858438,11.576094,11.576094,3.829477,54400
1992-11-02,11.519625,11.801969,11.463157,11.801969,3.904199,159300
1992-11-03,11.745500,11.858438,11.689032,11.745500,3.885519,144900
1992-11-04,11.745500,11.858438,11.576094,11.576094,3.829477,107100
1992-11-05,11.689032,11.689032,11.519625,11.519625,3.810795,28900
1992-11-06,11.406688,11.689032,11.406688,11.632563,3.848159,144700
1992-11-09,11.689032,11.745500,11.632563,11.689032,3.866838,67700
1992-11-10,11.745500,11.745500,11.463157,11.463157,3.792113,67900
1992-11-11,11.519625,11.519625,11.406688,11.463157,3.792113,93800
1992-11-12,11.519625,11.632563,11.463157,11.632563,3.848159,496500
1992-11-13,11.632563,11.858438,11.632563,11.801969,3.904199,237500
1992-11-16,11.801969,11.914907,11.745500,11.858438,3.922879,97800
1992-11-17,11.801969,11.858438,11.801969,11.801969,3.904199,119300
1992-11-18,12.366656,12.649000,12.366656,12.592531,4.165724,198300
1992-11-19,12.874875,12.874875,12.649000,12.705469,4.203087,212900
1992-11-20,12.761937,12.761937,12.592531,12.592531,4.165724,138100
1992-11-23,12.536062,12.536062,12.423125,12.479593,4.229116,63000
1992-11-24,12.536062,12.649000,12.479593,12.592531,4.267387,141400
1992-11-25,12.592531,12.874875,12.592531,12.818406,4.343935,122600
1992-11-27,12.874875,12.987812,12.874875,12.987812,4.401344,69700
1992-11-30,13.044281,13.044281,12.931344,12.931344,4.382205,106200
1992-12-01,12.931344,13.100750,12.931344,13.100750,4.439614,162400
1992-12-02,13.157219,14.004250,13.157219,13.778375,4.669252,374900
1992-12-03,13.834844,14.060719,13.721907,13.834844,4.688388,254100
1992-12-04,13.947782,14.060719,13.891313,14.060719,4.764932,133000
1992-12-07,14.060719,14.117188,14.004250,14.117188,4.784067,155800
1992-12-08,14.117188,14.173656,14.004250,14.117188,4.784067,143800
1992-12-09,14.117188,15.359500,14.117188,15.077156,5.109385,606700
1992-12-10,15.077156,15.415969,14.738344,14.964219,5.071114,428900
1992-12-11,14.964219,15.246563,14.907750,15.246563,5.166793,292600
1992-12-14,15.133625,15.641844,15.133625,15.472438,5.243338,339300
1992-12-15,15.359500,15.359500,15.190094,15.246563,5.166793,429200
1992-12-16,15.303031,15.359500,14.512468,14.625406,4.956292,360800
1992-12-17,14.568937,14.738344,14.512468,14.625406,4.956292,392000
1992-12-18,15.020687,15.133625,15.020687,15.077156,5.109385,447100
1992-12-21,15.020687,15.020687,14.794812,14.851281,5.032841,269600
1992-12-22,14.794812,15.246563,14.794812,15.246563,5.166793,307200
1992-12-23,15.359500,15.528906,15.303031,15.472438,5.243338,369800
1992-12-24,15.359500,15.415969,15.359500,15.415969,5.224203,97100
1992-12-28,15.303031,15.585375,15.246563,15.585375,5.281610,173500
1992-12-29,15.585375,15.754782,15.472438,15.528906,5.262476,249900
1992-12-30,15.641844,15.641844,15.303031,15.303031,5.185930,242800
1992-12-31,15.303031,15.472438,15.246563,15.415969,5.224203,157100
1993-01-04,15.415969,15.472438,15.303031,15.359500,5.205066,96900
1993-01-05,15.190094,15.246563,15.020687,15.190094,5.147660,191000
1993-01-06,15.246563,15.246563,15.077156,15.133625,5.128522,422100
1993-01-07,15.077156,15.190094,14.964219,15.190094,5.147660,331500
1993-01-08,15.133625,15.190094,14.907750,14.907750,5.051976,349300
1993-01-11,14.907750,15.190094,14.907750,15.133625,5.128522,129900
1993-01-12,15.190094,15.190094,15.020687,15.077156,5.109385,261800
1993-01-13,15.246563,15.359500,15.133625,15.133625,5.128522,82700
1993-01-14,15.190094,15.303031,14.964219,15.190094,5.147660,231100
1993-01-15,15.246563,15.811250,15.020687,15.754782,5.339022,405900
1993-01-18,15.811250,15.867719,15.585375,15.867719,5.377295,187700
1993-01-19,15.811250,15.980657,15.754782,15.980657,5.415563,174400
1993-01-20,16.150063,16.206532,15.359500,15.359500,5.205066,253000
1993-01-21,15.472438,15.641844,15.415969,15.585375,5.281610,279800
1993-01-22,15.641844,15.924188,15.641844,15.924188,5.396430,226600
1993-01-25,16.037125,16.150063,15.980657,16.150063,5.472975,118200
1993-01-26,16.150063,16.206532,15.698313,15.811250,5.358157,302100
1993-01-27,15.698313,15.698313,14.625406,15.020687,5.090249,763200
1993-01-28,15.020687,15.190094,15.020687,15.020687,5.090249,160700
1993-01-29,15.020687,15.077156,14.568937,14.568937,4.937157,126300
1993-02-01,14.568937,14.625406,14.117188,14.568937,4.937157,301200
1993-02-02,14.456000,14.738344,14.343062,14.738344,4.994566,255000
1993-02-03,14.794812,14.964219,14.681875,14.738344,4.994566,117900
1993-02-04,14.851281,14.964219,14.681875,14.738344,4.994566,187400
1993-02-05,14.738344,14.738344,14.004250,14.004250,4.745796,168400
1993-02-08,14.230125,14.456000,14.117188,14.456000,4.898884,144300
1993-02-09,14.456000,14.681875,14.456000,14.625406,4.956292,105100
1993-02-10,14.568937,14.568937,14.173656,14.230125,4.822342,190100
1993-02-11,14.456000,14.512468,14.230125,14.230125,4.822342,146900
1993-02-12,14.343062,14.343062,13.778375,13.778375,4.669252,170000
1993-02-16,14.004250,14.230125,14.004250,14.230125,4.822342,208000
1993-02-17,14.230125,14.568937,14.117188,14.117188,4.784067,258300
1993-02-18,14.343062,14.399531,13.891313,14.117188,4.784067,270700
1993-02-19,14.117188,14.117188,14.060719,14.060719,4.764932,102700
1993-02-22,14.173656,14.286593,14.060719,14.286593,4.841476,288600
1993-02-23,14.173656,14.625406,14.117188,14.568937,5.079370,142300
1993-02-24,14.568937,14.794812,14.568937,14.794812,5.158124,96700
1993-02-25,14.851281,15.528906,14.794812,15.133625,5.276248,239900
1993-02-26,15.133625,15.246563,15.077156,15.190094,5.295937,395500
1993-03-01,15.133625,15.133625,14.851281,14.964219,5.217185,323600
1993-03-02,14.851281,15.190094,14.851281,15.190094,5.295937,526600
1993-03-03,15.077156,15.246563,15.077156,15.246563,5.315620,217300
1993-03-04,15.133625,15.190094,15.020687,15.190094,5.295937,399500
1993-03-05,15.133625,15.415969,15.133625,15.359500,5.354996,472300
1993-03-08,15.415969,15.585375,15.359500,15.585375,5.433746,91600
1993-03-09,15.585375,16.037125,15.585375,15.867719,5.532187,394000
1993-03-10,15.811250,15.980657,15.811250,15.867719,5.532187,248800
1993-03-11,15.867719,15.924188,15.811250,15.867719,5.532187,257400
1993-03-12,15.811250,16.206532,15.811250,16.150063,5.630623,359700
1993-03-15,16.093594,16.150063,16.037125,16.093594,5.610933,120600
1993-03-16,16.093594,16.150063,16.037125,16.093594,5.610933,100700
1993-03-17,16.037125,16.093594,15.867719,15.867719,5.532187,65500
1993-03-18,15.867719,15.924188,15.698313,15.698313,5.473124,463500
1993-03-19,15.811250,16.037125,15.754782,15.980657,5.571558,224200
1993-03-22,16.037125,16.093594,15.980657,16.093594,5.610933,185000
1993-03-23,16.093594,16.206532,16.093594,16.150063,5.630623,120400
1993-03-24,15.924188,16.037125,15.754782,15.811250,5.512498,334400
1993-03-25,15.811250,15.867719,15.698313,15.811250,5.512498,247700
1993-03-26,15.867719,16.093594,15.867719,16.037125,5.591248,194300
1993-03-29,16.093594,16.375938,16.093594,16.319469,5.689685,98900
1993-03-30,16.263000,16.714750,16.263000,16.601812,5.788121,159800
1993-03-31,16.601812,16.884157,16.601812,16.658281,5.807808,226000
1993-04-01,16.658281,16.658281,16.488874,16.545343,5.768433,129200
1993-04-02,16.375938,16.375938,16.093594,16.150063,5.630623,267100
1993-04-05,16.037125,16.206532,15.980657,16.093594,5.610933,52900
1993-04-06,16.206532,16.545343,16.150063,16.545343,5.768433,172600
1993-04-07,16.658281,16.658281,16.545343,16.601812,5.788121,78500
1993-04-08,16.545343,16.658281,16.375938,16.375938,5.709370,141200
1993-04-12,16.432405,16.940624,16.432405,16.884157,5.886559,173700
1993-04-13,16.827688,17.731188,16.827688,17.618250,6.142493,382000
1993-04-14,17.561781,17.561781,17.392376,17.448843,6.083431,127200
1993-04-15,17.448843,17.731188,17.279438,17.279438,6.024373,154900
1993-04-16,17.053562,17.448843,17.053562,17.335907,6.044060,96200
1993-04-19,17.392376,17.392376,17.222969,17.392376,6.063750,75000
1993-04-20,17.618250,17.787657,17.166500,17.448843,6.083431,215100
1993-04-21,17.335907,17.618250,17.053562,17.279438,6.024373,117900
1993-04-22,17.279438,17.279438,17.053562,17.053562,5.945622,247700
1993-04-23,16.940624,17.618250,16.940624,17.618250,6.142493,169300
1993-04-26,17.279438,17.392376,17.053562,17.110031,5.965308,199000
1993-04-27,17.053562,17.110031,16.827688,17.053562,5.945622,92300
1993-04-28,17.053562,17.053562,16.940624,17.053562,5.945622,234400
1993-04-29,17.110031,17.561781,17.053562,17.448843,6.083431,86500
1993-04-30,17.448843,17.674719,17.448843,17.618250,6.142493,126100
1993-05-03,17.674719,17.674719,17.448843,17.448843,6.083431,95400
1993-05-04,17.505312,17.787657,17.448843,17.731188,6.181871,206700
1993-05-05,17.618250,17.731188,17.618250,17.674719,6.162185,127000
1993-05-06,17.618250,17.674719,17.448843,17.448843,6.083431,93800
1993-05-07,17.448843,17.448843,17.335907,17.335907,6.044060,40700
1993-05-10,17.335907,17.505312,17.335907,17.392376,6.063750,129200
1993-05-11,17.335907,17.505312,17.335907,17.448843,6.083431,82500
1993-05-12,17.392376,17.505312,17.279438,17.505312,6.103119,259600
1993-05-13,17.448843,17.448843,17.166500,17.222969,6.004685,69900
1993-05-14,17.166500,17.166500,16.771219,16.827688,5.866870,92300
1993-05-17,16.940624,17.110031,16.827688,17.110031,5.965308,147200
1993-05-18,17.335907,17.731188,17.279438,17.731188,6.181871,160900
1993-05-19,17.618250,17.787657,17.392376,17.787657,6.201561,191400
1993-05-20,17.674719,17.731188,17.448843,17.505312,6.103119,106200
1993-05-21,17.505312,17.561781,17.392376,17.448843,6.083431,115900
1993-05-24,17.448843,17.505312,17.166500,17.392376,6.063750,54400
1993-05-25,17.279438,17.335907,17.222969,17.335907,6.186338,43300
1993-05-26,17.222969,17.448843,17.222969,17.448843,6.226635,30300
1993-05-27,17.448843,17.674719,17.448843,17.561781,6.266939,127900
1993-05-28,17.561781,17.561781,17.505312,17.561781,6.266939,76100
1993-06-01,17.448843,17.731188,17.279438,17.674719,6.307242,153400
1993-06-02,17.561781,17.731188,17.561781,17.731188,6.327391,53500
1993-06-03,17.674719,18.013531,17.674719,17.900593,6.387845,167500
1993-06-04,17.787657,17.900593,17.731188,17.844126,6.367697,66400
1993-06-07,17.731188,17.787657,17.505312,17.731188,6.327391,196700
1993-06-08,17.618250,17.618250,17.448843,17.448843,6.226635,403700
1993-06-09,17.505312,17.731188,17.392376,17.448843,6.226635,454600
1993-06-10,17.448843,17.561781,17.392376,17.505312,6.246786,71400
1993-06-11,17.392376,17.561781,17.335907,17.448843,6.226635,204700
1993-06-14,17.392376,17.561781,17.392376,17.448843,6.226635,84100
1993-06-15,17.335907,17.448843,17.053562,17.166500,6.125883,161100
1993-06-16,17.110031,17.561781,17.110031,17.505312,6.246786,217300
1993-06-17,17.505312,17.618250,17.505312,17.561781,6.266939,57700
1993-06-18,17.618250,17.957062,17.561781,17.787657,6.347546,185000
1993-06-21,17.844126,17.844126,17.674719,17.787657,6.347546,125000
1993-06-22,17.674719,18.070000,17.674719,17.957062,6.407995,283700
1993-06-23,17.900593,18.352345,17.900593,18.126469,6.468448,429400
1993-06-24,18.070000,19.255844,18.070000,18.804094,6.710259,657600
1993-06-25,18.860563,19.086437,18.747625,18.804094,6.710259,580100
1993-06-28,18.691156,18.860563,18.691156,18.747625,6.690105,399300
1993-06-29,18.634687,18.860563,18.578218,18.860563,6.730408,260700
1993-06-30,18.804094,18.917030,18.804094,18.860563,6.730408,173500
1993-07-01,18.860563,18.917030,18.747625,18.860563,6.730408,334900
1993-07-02,18.860563,18.860563,18.691156,18.691156,6.669959,91800
1993-07-06,18.691156,18.860563,18.691156,18.860563,6.730408,398400
1993-07-07,18.860563,18.973499,18.804094,18.973499,6.770713,780000
1993-07-08,19.029968,19.086437,18.804094,19.029968,6.790863,815200
1993-07-09,18.973499,19.086437,18.917030,19.086437,6.811014,108900
1993-07-12,19.086437,19.199375,19.029968,19.029968,6.790863,276200
1993-07-13,19.086437,19.142906,18.408812,18.804094,6.710259,251400
1993-07-14,18.747625,18.860563,18.747625,18.804094,6.710259,141600
1993-07-15,18.747625,18.860563,18.578218,18.804094,6.710259,112000
1993-07-16,18.860563,19.029968,18.804094,18.973499,6.770713,548700
1993-07-19,18.973499,18.973499,18.917030,18.973499,6.770713,222200
1993-07-20,18.973499,18.973499,18.804094,18.804094,6.710259,55700
1993-07-21,18.804094,18.973499,18.634687,18.973499,6.770713,197600
1993-07-22,18.070000,18.126469,17.844126,18.013531,6.428146,619300
1993-07-23,17.957062,17.957062,17.448843,17.505312,6.246786,442200
1993-07-26,17.561781,17.561781,17.279438,17.392376,6.206491,304500
1993-07-27,17.392376,18.013531,17.392376,18.013531,6.428146,286600
1993-07-28,18.070000,18.070000,17.731188,17.731188,6.327391,230400
1993-07-29,17.561781,17.844126,17.448843,17.448843,6.226635,151800
1993-07-30,17.674719,18.126469,17.505312,18.126469,6.468448,274900
1993-08-02,18.070000,18.182938,17.900593,17.957062,6.407995,226400
1993-08-03,17.844126,17.957062,17.561781,17.674719,6.307242,135600
1993-08-04,17.674719,17.844126,17.618250,17.844126,6.367697,78100
1993-08-05,17.844126,18.013531,17.844126,18.013531,6.428146,78300
1993-08-06,17.957062,18.070000,17.900593,18.070000,6.448295,151400
1993-08-09,18.070000,18.126469,18.013531,18.070000,6.448295,100700
1993-08-10,17.957062,18.013531,17.844126,18.013531,6.428146,105100
1993-08-11,18.070000,18.126469,17.957062,18.013531,6.428146,123900
1993-08-12,18.013531,18.013531,17.618250,17.787657,6.347546,157800
1993-08-13,17.787657,17.844126,17.674719,17.787657,6.347546,114200
1993-08-16,17.787657,17.844126,17.674719,17.787657,6.347546,168800
